n,std_average,std_worst
0,1.38E-06,5.41E-07
1,9.17E-07,5.42E-07
2,3.54E-06,1.33E-06
3,1.71E-06,2.25E-06
4,2.42E-06,3.08E-06
5,3.63E-06,3.75E-06
6,3.96E-06,4.96E-06
7,4.88E-06,6.08E-06
8,4.71E-06,6.58E-06
9,5.46E-06,7.37E-06
10,6.79E-06,1.04E-05
11,6.96E-06,1.00E-05
12,7.50E-06,1.28E-05
13,8.42E-06,1.34E-05
14,9.79E-06,1.48E-05
15,9.75E-06,1.65E-05
16,1.11E-05,1.77E-05
17,1.25E-05,1.95E-05
18,1.20E-05,2.19E-05
19,1.39E-05,2.29E-05
20,1.51E-05,2.47E-05
21,1.65E-05,2.65E-05
22,1.51E-05,2.88E-05
23,1.60E-05,3.08E-05
24,1.72E-05,3.17E-05
25,1.69E-05,3.36E-05
26,1.86E-05,3.59E-05
27,1.97E-05,3.87E-05
28,2.02E-05,4.07E-05
29,2.03E-05,4.12E-05
30,2.15E-05,4.47E-05
31,2.15E-05,4.67E-05
32,2.38E-05,4.94E-05
33,2.33E-05,5.00E-05
34,2.55E-05,0.000120542
35,2.58E-05,5.58E-05
36,2.77E-05,5.83E-05
37,2.50E-05,6.12E-05
38,2.75E-05,6.41E-05
39,2.78E-05,6.71E-05
40,2.68E-05,6.98E-05
41,2.98E-05,7.30E-05
42,2.95E-05,7.85E-05
43,3.15E-05,7.99E-05
44,3.14E-05,8.23E-05
45,3.19E-05,8.58E-05
46,3.25E-05,8.90E-05
47,3.42E-05,9.29E-05
48,3.40E-05,9.63E-05
49,4.81E-05,0.000100292
50,3.63E-05,0.000105458
51,3.52E-05,0.000107416
52,3.68E-05,0.00011125
53,4.20E-05,0.00011575
54,4.25E-05,0.000127625
55,3.85E-05,0.000126042
56,4.35E-05,0.000129459
57,4.47E-05,0.000130375
58,4.48E-05,0.000135542
59,4.60E-05,0.000139292
60,4.62E-05,0.000144458
61,5.63E-05,0.000148166
62,4.81E-05,0.000154166
63,4.95E-05,0.000167959
64,5.20E-05,0.000163042
65,4.93E-05,0.000166041
66,5.31E-05,0.000172209
67,5.16E-05,0.000180291
68,5.75E-05,0.000195875
69,5.64E-05,0.000198208
70,5.51E-05,0.000190667
71,5.33E-05,0.000196542
72,5.51E-05,0.000202166
73,5.98E-05,0.000211333
74,6.51E-05,0.000215875
75,5.30E-05,0.000218792
76,6.11E-05,0.000229084
77,6.31E-05,0.000229333
78,5.95E-05,0.000235459
79,6.47E-05,0.000245375
80,6.42E-05,0.000246417
81,6.58E-05,0.000254917
82,6.95E-05,0.000266958
83,7.31E-05,0.000273875
84,7.09E-05,0.000283834
85,6.42E-05,0.000277584
86,6.88E-05,0.000294625
87,7.67E-05,0.000303667
88,7.38E-05,0.000295208
89,7.05E-05,0.000303
90,7.30E-05,0.0003145
91,7.82E-05,0.000315292
92,8.90E-05,0.000321833
93,8.05E-05,0.000329792
94,7.83E-05,0.000336041
95,7.97E-05,0.000341125
96,8.01E-05,0.000352708
97,8.91E-05,0.000359958
98,8.25E-05,0.000373792
99,8.32E-05,0.000371208
100,7.82E-05,0.000389708
101,8.30E-05,0.000383833
102,8.23E-05,0.000394125
103,9.08E-05,0.0004185
104,9.00E-05,0.000411667
105,9.27E-05,0.000424875
106,8.83E-05,0.000422291
107,8.51E-05,0.000429458
108,8.99E-05,0.000435375
109,9.63E-05,0.000451416
110,9.03E-05,0.000451209
111,8.76E-05,0.000459458
112,9.00E-05,0.000468333
113,9.42E-05,0.000475584
114,9.65E-05,0.000500875
115,9.78E-05,0.0004965
116,0.000111667,0.000532333
117,0.000104959,0.0005255
118,0.000107541,0.000516208
119,0.000104375,0.000525333
120,0.000100375,0.000532792
121,0.000104292,0.000541125
122,0.000100875,0.000554
123,0.0001215,0.000558458
124,0.000112083,0.000579792
125,9.95E-05,0.000590292
126,0.000117292,0.000584459
127,0.000109875,0.000627917
128,0.000110708,0.000602375
129,0.000113834,0.000616625
130,0.000107833,0.00062175
131,0.000114041,0.000636125
132,0.000117208,0.000639167
133,0.000117333,0.000658583
134,0.000114334,0.0006675
135,0.000117833,0.000677167
136,0.000132375,0.000780041
137,0.000126292,0.000685625
138,0.000123333,0.000696042
139,0.000119666,0.0007005
140,0.000119042,0.000715042
141,0.000126,0.000719167
142,0.000125708,0.000733417
143,0.000120792,0.000759083
144,0.000124542,0.000769333
145,0.000139458,0.000764042
146,0.000131625,0.000793458
147,0.000127125,0.000783
148,0.000132375,0.000800416
149,0.000130167,0.000797625
150,0.000125209,0.000809125
151,0.000134,0.000819083
152,0.000129208,0.000887708
153,0.000131167,0.000845083
154,0.000152292,0.000861
155,0.000140625,0.000859833
156,0.000134666,0.000873625
157,0.000140125,0.000881791
158,0.000149083,0.000893042
159,0.000137917,0.000934416
160,0.00015125,0.000919584
161,0.000136333,0.000925458
162,0.000149542,0.000937208
163,0.000143041,0.000947334
164,0.000158833,0.000968792
165,0.000146542,0.000981833
166,0.000163917,0.001024541
167,0.000179708,0.000994875
168,0.000161209,0.001007291
169,0.000163,0.001013167
170,0.000148209,0.00102775
171,0.000158959,0.001039167
172,0.000150917,0.001079
173,0.000148209,0.001063459
174,0.000147209,0.001075959
175,0.000163791,0.001087
176,0.000160334,0.001108375
177,0.00016475,0.001108167
178,0.000160292,0.00116175
179,0.000164209,0.0011745
180,0.000164375,0.001155666
181,0.000165875,0.001156917
182,0.000153875,0.001181125
183,0.000160583,0.0012195
184,0.000162,0.001204166
185,0.000160833,0.001207167
186,0.000182167,0.001217375
187,0.00017625,0.001238042
188,0.000171667,0.001274083
189,0.000167625,0.0012755
190,0.000187792,0.001267083
191,0.000167625,0.001284625
192,0.000169333,0.001303291
193,0.0001725,0.001326167
194,0.000177792,0.00133975
195,0.000185541,0.0013345
196,0.0001755,0.001344542
197,0.000173,0.001359041
198,0.000176,0.001407541
199,0.000182834,0.001403791
200,0.000188417,0.001423541
201,0.000182916,0.00141825
202,0.000198084,0.001448
203,0.000182083,0.001466917
204,0.000181666,0.001453959
205,0.000185667,0.00161425
206,0.000191958,0.001486708
207,0.000192833,0.001535958
208,0.000215,0.001516041
209,0.000202375,0.001538417
210,0.00019525,0.001544459
211,0.000183792,0.001677125
212,0.000197167,0.001628917
213,0.0001915,0.001604417
214,0.000195333,0.0016095
215,0.000202041,0.001623125
216,0.0001955,0.001655167
217,0.000211958,0.001712542
218,0.000204542,0.001723875
219,0.0002035,0.001679625
220,0.000197875,0.001692333
221,0.000231125,0.001710458
222,0.000202291,0.001733208
223,0.000210208,0.001740334
224,0.0002105,0.001751125
225,0.000209,0.001801041
226,0.000202416,0.001777375
227,0.000209208,0.001805917
228,0.000227625,0.001817208
229,0.000209416,0.001835459
230,0.000214125,0.001846166
231,0.00021975,0.001871459
232,0.000228334,0.001881791
233,0.000232292,0.001893708
234,0.000219,0.001888417
235,0.000210167,0.00190225
236,0.000213167,0.00193475
237,0.0002115,0.001945333
238,0.0002295,0.001950375
239,0.000237875,0.001964083
240,0.000222209,0.001996875
241,0.000219709,0.002007584
242,0.000227292,0.002012291
243,0.000217667,0.00204925
244,0.000216125,0.002046917
245,0.000225458,0.002065042
246,0.000223875,0.002734708
247,0.00024825,0.0080205
248,0.000244333,0.002274958
249,0.000245792,0.00230025
250,0.000234583,0.002332375
251,0.000244458,0.002334209
252,0.0002275,0.002346291
