factor,insertionSort_runtime,quicksort_runtime
0,0.000145167,0.050078416
0.01,0.001298041,0.007231792
0.02,0.002309166,0.004281917
0.03,0.003289208,0.005982292
0.04,0.004789333,0.00701325
0.05,0.0057245,0.003626041
0.06,0.007112416,0.003984
0.07,0.005834292,0.003898417
0.08,0.00625025,0.003552167
0.09,0.00909425,0.004299417
0.1,0.009994458,0.0026895
0.11,0.009854917,0.003217333
0.12,0.01129625,0.001978625
0.13,0.010797542,0.001931667
0.14,0.011769083,0.002499791
0.15,0.013099666,0.001760708
0.16,0.013262167,0.002269125
0.17,0.014647917,0.001942167
0.18,0.015971875,0.001940459
0.19,0.01513025,0.002520625
0.2,0.01737875,0.002439
0.21,0.016896833,0.001845333
0.22,0.017719042,0.002467917
0.23,0.017767666,0.001486792
0.24,0.019578958,0.001746416
0.25,0.019821417,0.002012666
0.26,0.020163625,0.001874875
0.27,0.0192215,0.001954958
0.28,0.021496542,0.001751333
0.29,0.021681,0.001448209
0.3,0.019453584,0.001619209
0.31,0.02247675,0.001652292
0.32,0.022264,0.001566666
0.33,0.021937708,0.001529791
0.34,0.022556833,0.0015665
0.35,0.023812291,0.00146675
0.36,0.022066,0.00171425
0.37,0.026423583,0.001327334
0.38,0.02459325,0.001655958
0.39,0.025992417,0.001505125
0.4,0.023701042,0.001311459
0.41,0.025052959,0.001431125
0.42,0.028365084,0.001428208
0.43,0.026240083,0.0014315
0.44,0.026902583,0.001422875
0.45,0.026451334,0.001435875
0.46,0.027275334,0.001427916
0.47,0.027449666,0.001185542
0.48,0.027569458,0.001234916
0.49,0.027728416,0.001559916
0.5,0.028386291,0.001367625
0.51,0.028826042,0.001459333
0.52,0.029153084,0.001210083
0.53,0.029776542,0.001340125
0.54,0.029642959,0.001313333
0.55,0.029982208,0.001175542
0.56,0.027903,0.001515875
0.57,0.028889833,0.001554583
0.58,0.029056041,0.001252042
0.59,0.030168917,0.001395542
0.6,0.030333125,0.001252583
0.61,0.029362667,0.001270917
0.62,0.02991425,0.001310875
0.63,0.029350208,0.001315542
0.64,0.031330375,0.001260292
0.65,0.032738708,0.001442584
0.66,0.031017584,0.001408708
0.67,0.029914708,0.001153792
0.68,0.03356275,0.001199833
0.69,0.031680916,0.00118675
0.7,0.031323291,0.00116325
0.71,0.031807875,0.001239167
0.72,0.033159166,0.001250958
0.73,0.032240542,0.001201375
0.74,0.032372667,0.001159542
0.75,0.032000125,0.001222291
0.76,0.033304666,0.001220875
0.77,0.032546542,0.001279041
0.78,0.032377416,0.001221292
0.79,0.034011125,0.001154542
0.8,0.033232125,0.001176792
0.81,0.034531,0.001209625
0.82,0.033226875,0.0012215
0.83,0.034287875,0.001172542
0.84,0.034919083,0.00119275
0.85,0.033548458,0.001201959
0.86,0.0340145,0.001230792
0.87,0.034069708,0.001201542
0.88,0.0344005,0.00116225
0.89,0.035036792,0.00124525
0.9,0.033680042,0.001114542
0.91,0.034390041,0.001159458
0.92,0.035029333,0.001138292
0.93,0.033589,0.001206625
0.94,0.03455225,0.001320167
0.95,0.033355959,0.001163708
0.96,0.036496375,0.001252917
0.97,0.035306834,0.001322917
0.98,0.036110334,0.001143708
0.99,0.034275208,0.001121166
