factor,selectionSort_runtime,quicksort_runtime
0,0.033185584,0.045852625
0.01,0.031966459,0.009035542
0.02,0.03184925,0.008815208
0.03,0.030480458,0.005865375
0.04,0.030100583,0.003579667
0.05,0.029825416,0.005146
0.06,0.03026075,0.004321041
0.07,0.029934667,0.003434458
0.08,0.029087333,0.002413459
0.09,0.030463625,0.002125875
0.1,0.029500917,0.001849
0.11,0.029683541,0.001791042
0.12,0.029821084,0.00259325
0.13,0.029573333,0.00187675
0.14,0.029172708,0.003359042
0.15,0.02915325,0.002555125
0.16,0.030119958,0.002706917
0.17,0.029325167,0.002082542
0.18,0.03002475,0.001882917
0.19,0.030231833,0.001690584
0.2,0.030095042,0.00148275
0.21,0.029135791,0.0018345
0.22,0.029920375,0.0021255
0.23,0.028923792,0.001391916
0.24,0.029692458,0.001654084
0.25,0.029032792,0.001482666
0.26,0.029863,0.001324667
0.27,0.028989375,0.0017065
0.28,0.029317084,0.001563375
0.29,0.02991175,0.001481459
0.3,0.028921125,0.0014175
0.31,0.028948209,0.001488584
0.32,0.028854375,0.001252625
0.33,0.028848083,0.001392166
0.34,0.029837333,0.001269333
0.35,0.028892875,0.001628667
0.36,0.029716041,0.001469416
0.37,0.028878584,0.001251958
0.38,0.029746333,0.001324459
0.39,0.029849958,0.00143525
0.4,0.029264708,0.0012605
0.41,0.029017292,0.00155725
0.42,0.029739791,0.0011785
0.43,0.0288355,0.001307958
0.44,0.029122041,0.001225709
0.45,0.02900325,0.001458583
0.46,0.028787167,0.001216083
0.47,0.029646083,0.001272667
0.48,0.029411125,0.001253834
0.49,0.028815458,0.001563125
0.5,0.028854333,0.001193541
0.51,0.028840375,0.001278375
0.52,0.029663375,0.001341083
0.53,0.029352584,0.001368625
0.54,0.029707042,0.001385208
0.55,0.02979925,0.001221042
0.56,0.029674042,0.001291417
0.57,0.029686375,0.001208917
0.58,0.029633917,0.001260917
0.59,0.029539083,0.001243
0.6,0.028857,0.001502167
0.61,0.02965025,0.001257791
0.62,0.029724833,0.001200583
0.63,0.029763542,0.001247875
0.64,0.029695209,0.0012575
0.65,0.029817167,0.001294584
0.66,0.028881958,0.001385292
0.67,0.028902667,0.001133333
0.68,0.029385958,0.001226459
0.69,0.029794917,0.001241416
0.7,0.029662875,0.001269875
0.71,0.029928917,0.001283
0.72,0.029809334,0.001264666
0.73,0.028892958,0.001198166
0.74,0.029792791,0.001223834
0.75,0.029056125,0.001173792
0.76,0.029016292,0.0011215
0.77,0.029773875,0.00114625
0.78,0.029677625,0.00115575
0.79,0.028823208,0.001273208
0.8,0.029664417,0.001211708
0.81,0.029656125,0.001195041
0.82,0.028786166,0.0011725
0.83,0.028879583,0.001227041
0.84,0.029834084,0.001190709
0.85,0.029839583,0.001213667
0.86,0.028821917,0.001122667
0.87,0.02884025,0.001168792
0.88,0.029694875,0.001202167
0.89,0.029457292,0.001199291
0.9,0.029046625,0.001156333
0.91,0.029842416,0.001263041
0.92,0.029740625,0.0011455
0.93,0.028871041,0.001111375
0.94,0.029578125,0.001095083
0.95,0.028822875,0.001146417
0.96,0.028848708,0.001156625
0.97,0.029686041,0.001145583
0.98,0.0297155,0.001207166
0.99,0.029428625,0.001070084
